model,split,model_group,n_obs,rmse,mae,qlike,mean_actual_var,mean_pred_var,pred_actual_ratio,extreme_regime_qlike,spike90_underprediction_rate,spike90_severe_underprediction_rate,spike90_average_pred_actual_ratio,var1_violation_rate,var1_kupiec_p_value
Calibrated-ARIMA-GARCH-LSTM-affine_nonnegative,validation,benchmark_garch_family,731,4.753293650248931,2.4315599557263234,1.6150923002074176,2.1576002606846854,2.0079758244904182,0.9306523831496082,,,,,,
Calibrated-ARIMA-GARCH-LSTM-scale_qlike,validation,benchmark_garch_family,731,4.752630935860325,2.43502772395448,1.6150985466889212,2.1576002606846854,2.015092112447183,0.933950625222728,,,,,,
ARIMA-GARCH-LSTM,validation,benchmark_garch_family,731,4.757122208641947,2.412675706091275,1.6152834550265276,2.1576002606846854,1.9692230159378574,0.9126913135025999,,,,,,
Calibrated-ARIMA-GARCH-LSTM-scale_mean,validation,benchmark_garch_family,731,4.742003532780911,2.5060170042190757,1.6176140569551813,2.1576002606846854,2.1576002606846854,1.0,,,,,,
"GARCH(1,1)",validation,benchmark_garch_family,750,4.710176955015518,2.3561620652864237,1.62943243104654,2.1342407332578572,1.9923226258746338,0.9335041707471352,,,,,,
Calibrated-LSTM-LogTarget-Small-isotonic,validation,neural_or_hybrid,731,4.726030610643618,2.518706909664381,1.631877255394911,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
ARIMA-GARCH,validation,benchmark_garch_family,750,4.721296435254293,2.3562430709806486,1.6364838435487945,2.1342407332578572,1.9666954342429883,0.9214965320434514,,,,,,
Calibrated-Hybrid-QLIKE-affine_nonnegative,validation,neural_or_hybrid,731,4.812469448018812,2.475716582731478,1.6589860124162539,2.1576002606846854,2.001088041176713,0.9274600479245838,,,,,,
Calibrated-Hybrid-QLIKE-scale_qlike,validation,neural_or_hybrid,731,4.814486950701762,2.4645630160569785,1.6590502577701929,2.1576002606846854,1.9785753699027098,0.9170259227141712,,,,,,
Hybrid-QLIKE,validation,neural_or_hybrid,731,4.81886156013633,2.4427896456157563,1.6595824324896817,2.1576002606846854,1.9335374959353384,0.8961518642576343,,,,,,
Calibrated-LSTM-affine_nonnegative,validation,neural_or_hybrid,731,4.815350708383675,2.492470920873089,1.6614860427447709,2.1576002606846854,2.0157578274313552,0.9342591693939089,,,,,,
Calibrated-LSTM-scale_qlike,validation,neural_or_hybrid,731,4.813964295062653,2.5018812707378815,1.6615268444713394,2.1576002606846854,2.0340770598337916,0.9427497284359359,,,,,,
Calibrated-Hybrid-QLIKE-scale_mean,validation,neural_or_hybrid,731,4.801572910539142,2.5560645073953987,1.661751619199933,2.1576002606846854,2.157600260684685,0.9999999999999998,,,,,,
Calibrated-LSTM-scale_mean,validation,neural_or_hybrid,731,4.806609226015481,2.567529475771272,1.663746615914585,2.1576002606846854,2.1576002606846854,1.0,,,,,,
LSTM,validation,neural_or_hybrid,731,4.835781646060378,2.3925914264961663,1.6673171114763983,2.1576002606846854,1.8128730878131987,0.8402265798938622,,,,,,
Calibrated-LSTM-QLIKE-affine_nonnegative,validation,neural_or_hybrid,731,4.834665573063049,2.5073998669170616,1.6711660587876975,2.1576002606846854,2.011330775947585,0.932207328946705,,,,,,
Calibrated-LSTM-QLIKE-scale_qlike,validation,neural_or_hybrid,731,4.836278099522896,2.49655650505177,1.671219224403042,2.1576002606846854,1.9907327052120967,0.9226605787396246,,,,,,
Calibrated-LSTM-QLIKE-scale_mean,validation,neural_or_hybrid,731,4.82589470971683,2.584870783343348,1.6735734075259214,2.1576002606846854,2.1576002606846854,1.0,,,,,,
LSTM-QLIKE,validation,neural_or_hybrid,731,4.858825186521285,2.3881449107520685,1.6793709706894202,2.1576002606846854,1.7742423910938112,0.8223221063807155,,,,,,
Calibrated-LSTM-LogTarget-Small-affine_nonnegative,validation,neural_or_hybrid,731,4.870495588030022,2.562816750325359,1.6938485199719044,2.1576002606846854,2.0566391699176387,0.9532067674412461,,,,,,
Calibrated-LSTM-LogTarget-Small-scale_qlike,validation,neural_or_hybrid,731,4.870820042694253,2.559261010068737,1.6938538454084289,2.1576002606846854,2.0500039999923536,0.9501315129345658,,,,,,
Calibrated-LSTM-LogTarget-Small-scale_mean,validation,neural_or_hybrid,731,4.86673726454723,2.6181005911869746,1.6949772942497563,2.1576002606846854,2.157600260684686,1.0000000000000002,,,,,,
Hybrid-LogTarget-Small,validation,neural_or_hybrid,731,5.145894508088207,2.0091481713314554,3.8913356616340953,2.1576002606846854,0.4312038501666229,0.19985344738037164,,,,,,
Hybrid-LogTarget,validation,neural_or_hybrid,731,5.187524899046371,2.014338089478917,4.333756584932176,2.1576002606846854,0.380532799391802,0.17636853606564037,,,,,,
LSTM-LogTarget,validation,neural_or_hybrid,731,5.159188956365921,2.009581849069528,4.371889110253753,2.1576002606846854,0.40118935778890025,0.18594239401027335,,,,,,
LSTM-LogTarget-Small,validation,neural_or_hybrid,731,5.257866924790051,2.035712826362225,4.939853270108503,2.1576002606846854,0.34021597985819374,0.1576825819210046,,,,,,
